;Periods;Total Consumption;AC;Dish washer;Washing Machine;Dryer;Water heater;TV;Microwave;Kettle;Lighting;Refrigerator
25048;89;0,210174478160933;0;0;0;0;0;0;0;0;0;0,14
25049;90;0,175235679600675;0;0;0;0;0;0;0;0;0;0
25050;91;0,111722902372919;0;0;0;0;0;0;0;0;0;0
25051;92;0,240915204025967;0;0;0;0;0;0;0;0;0;0
25052;93;0,144359532035796;0;0;0;0;0;0;0;0;0;0
25053;94;0,13785929044319;0;0;0;0;0;0;0;0;0;0
25054;95;0,223174961346146;0;0;0;0;0;0;0;0;0;0
25055;96;0,152078568927016;0;0;0;0;0;0;0;0;0;0
25056;1;0,253915687211179;0;0;0;0;0;0;0;0;0;0
25057;2;0,273280990289152;0;0;0;0;0;0;0;0;0;0
25058;3;0,205299296966479;0;0;0;0;0;0;0;0;0;0
25059;4;0,200965802571408;0;0;0;0;0;0;0;0;0;0
25060;5;0,170089655006529;0;0;0;0;0;0;0;0;0;0
25061;6;0,333679068420451;0;0;0;0;0;0;0;0;0;0,14
25062;7;2,67552652385668;0;0;0;0;0;0;0;0;0;0
25063;8;3,43266924769545;0;0;0;0;0;0;0;0;0;0
25064;9;3,72179457686658;0;0;0;0;0,233;0;0;0;0;0,14
25065;10;4,00320086914649;0;0;0;0;0,993;0;0;0;0;0,14
25066;11;2,70315255062525;0;0;0;0;1,026;0;0;0;0;0
25067;12;4,34866162545354;0;0;0;0;1,1;0;0;0;0;0
25068;13;3,33218634640975;0;0;0;0;1,036;0;0;0;0;0
25069;14;2,77966581103822;0;0;0;0;1,032;0;0;0;0;0,14
25070;15;2,38152601349109;0;0;0;0;1,037;0;0;0;0;0
25071;16;1,5730584654107;0;0;0;0;1,032;0;0;0;0;0
25072;17;3,26921525598138;0;0;0;0;1,021;0;0;0;0;0,14
25073;18;3,22330729973359;0;0;0;0;1,039;0;0;0;0;0
25074;19;2,29566865578875;0;0;0;0;1,041;0;0;0;0;0
25075;20;2,4499139719133;0;0;0;0;1,02;0;0;0;0;0,14
25076;21;1,56574569361902;0;0;0;0;0,755;0;0;0;0;0,14
25077;22;0,310521957746792;0;0;0;0;0;0;0;0;0;0
25078;23;0,311334487945867;0;0;0;0;0;0;0;0;0;0
25079;24;0,382295458665152;0;0;0;0;0;0;0;0;0;0
25080;25;0,298469426460501;0;0;0;0;0;0;0;0;0;0,14
25081;26;0,296302679262965;0;0;0;0;0;0;0;0;0;0
